x		   	   y
2.351560810966576810e+03 6.696667637263776226e-06
2.376448536362086998e+03 6.286451660446197746e-06
2.401336261757597640e+03 5.988325298675907713e-06
2.426223987153108283e+03 5.656475894445033631e-06
2.451111712548618925e+03 5.245855091194394774e-06
2.475999437944129113e+03 4.873953486998664005e-06
2.500887163339639756e+03 4.726908163620940875e-06
2.525774888735150398e+03 4.897699220231430424e-06
2.550662614130660586e+03 5.293017164550484152e-06
2.575550339526171228e+03 5.680539999418630800e-06
2.600438064921681871e+03 5.833046129902618463e-06
2.625325790317192059e+03 5.659515318229999582e-06
2.650213515712702701e+03 5.235049098854220736e-06
2.675101241108213344e+03 4.715503951559454711e-06
2.699988966503723532e+03 4.207146274587772957e-06
2.724876691899234174e+03 3.705417470033829414e-06
2.749764417294744817e+03 3.158623962520466617e-06
2.774652142690255005e+03 2.583838472766952279e-06
2.799539868085765647e+03 2.105102044103703700e-06
2.824427593481276290e+03 1.870370829183799878e-06
2.849315318876786478e+03 1.929486542160324283e-06
2.874203044272297120e+03 2.183984988776896437e-06
2.899090769667807763e+03 2.446391674266483833e-06
2.923978495063318405e+03 2.559748615366626022e-06
2.948866220458828593e+03 2.487460987066260788e-06
2.973753945854339236e+03 2.305669867365604268e-06
2.998641671249849878e+03 2.109796501872815378e-06
3.023529396645360066e+03 1.926970305335545853e-06
3.048417122040870709e+03 1.720437636876395364e-06
3.073304847436381351e+03 1.472098012860294990e-06
3.098192572831891539e+03 1.240744498304232095e-06
3.123080298227402182e+03 1.121401765150720321e-06
3.147968023622912824e+03 1.148074123182638631e-06
3.172855749018423012e+03 1.251674474669148578e-06
3.197743474413933654e+03 1.321697633024075191e-06
3.222631199809444297e+03 1.299143881472327615e-06
3.247518925204954940e+03 1.200764786923025101e-06
3.272406650600465127e+03 1.071725304486960023e-06
3.297294375995975770e+03 9.449644730686579883e-07
3.322182101391486412e+03 8.445826344598796334e-07
3.347069826786996600e+03 7.927447126535588000e-07
3.371957552182507243e+03 7.896222696601130231e-07
3.396845277578017885e+03 7.998073839719167812e-07
3.421733002973528073e+03 7.817506372378856597e-07
3.446620728369038716e+03 7.332708225918958949e-07
3.471508453764549358e+03 6.948414797246322512e-07
3.496396179160059546e+03 7.015853151733418746e-07
3.521283904555570189e+03 7.394643614278326053e-07
3.546171629951080831e+03 7.574434414551617039e-07
3.571059355346591019e+03 7.207810750400803366e-07
3.595947080742101662e+03 6.431285926946981913e-07
3.620834806137612304e+03 5.630775338607463921e-07
3.645722531533122492e+03 4.980735609140813844e-07
3.670610256928633135e+03 4.316936394768361802e-07
3.695497982324143777e+03 3.432396398119107881e-07
3.720385707719654420e+03 2.369519597544112974e-07
3.745273433115164607e+03 1.376399675011664387e-07
3.770161158510675250e+03 6.627830363953235491e-08
3.795048883906185893e+03 2.631841169508278683e-08
3.819936609301696080e+03 8.816654227676913474e-09
3.844824334697206723e+03 3.590299826813025887e-09
3.869712060092717365e+03 5.819093051706658637e-09
3.894599785488227553e+03 1.789851256991044542e-08
3.919487510883738196e+03 4.920388611220313104e-08
3.944375236279248838e+03 1.126183950859246499e-07
3.969262961674759026e+03 2.152153198812303185e-07
3.994150687070269669e+03 3.468441772962967429e-07
4.019038412465780311e+03 4.776776857760731258e-07
4.043926137861290954e+03 5.702633230498120054e-07
4.068813863256801596e+03 5.967558497677514922e-07
4.093701588652311329e+03 5.492486091241836143e-07
4.118589314047821972e+03 4.419612414441596428e-07
4.143477039443332615e+03 3.070300766493677784e-07
4.168364764838843257e+03 1.815272040068784439e-07
4.193252490234353900e+03 9.020994640954606917e-08
4.218140215629864542e+03 3.733286368017926235e-08
4.243027941025374275e+03 1.278583394619494965e-08
4.267915666420884918e+03 3.609367054268664524e-09
4.292803391816395560e+03 8.377770961829293430e-10
4.317691117211906203e+03 1.596609342677390586e-10
4.342578842607416846e+03 2.506271196595916256e-11
4.367466568002927488e+03 4.306166505844191391e-12
4.392354293398438131e+03 9.838778330331140324e-12
4.417242018793947864e+03 6.681933087981767830e-11
4.442129744189458506e+03 3.845892141683687737e-10
4.467017469584969149e+03 1.814235759359123484e-09
4.491905194980479791e+03 7.011497885374569737e-09
4.516792920375990434e+03 2.219965034729382285e-08
4.541680645771501077e+03 5.758371449898418712e-08
4.566568371167010810e+03 1.223690061058399670e-07
4.591456096562521452e+03 2.130401229009179802e-07
4.616343821958032095e+03 3.038572408835583474e-07
4.641231547353542737e+03 3.550552925427353807e-07
4.666119272749053380e+03 3.398917365893429251e-07
4.691006998144564022e+03 2.665651905412599356e-07
4.715894723540074665e+03 1.712712554728661723e-07
4.740782448935584398e+03 9.015373851727517625e-08
4.765670174331095041e+03 3.887775827521389674e-08
4.790557899726605683e+03 1.373526061557864214e-08
4.815445625122116326e+03 3.975491305499446910e-09
